categoria,tabela,coluna,yaml_local,rotulo_local,descricao_local,codigos_locais_json,formato_local,referencias_locais_json,mencao_textual_em_pdf,validacao_semantica
Base Territorial,t002_tb_regmetr,DS_NOME,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t002_tb_regmetr,DS_NOMEPAD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t002_tb_regmetr,DS_ABREV,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t002_tb_regmetr,NU_ORDEM,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t003_tb_regiao,CO_REGIAO,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t003_tb_regiao,CO_STATUS,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t003_tb_regiao,DS_NOME,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t003_tb_regiao,DS_NOMEPAD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t003_tb_regiao,DS_ABREV,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t003_tb_regiao,NU_ORDEM,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t004_tb_pndr,CO_PNDR,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t004_tb_pndr,DS_NOME,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t004_tb_pndr,DS_NOMEPAD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t004_tb_pndr,CO_STATUS,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t004_tb_pndr,NU_ORDMAP,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,CO_MUNICIP,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,CO_MUNICDV,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,CO_STATUS,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,CO_TIPO,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,DS_NOME,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,DS_NOMEPAD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,DS_OBSERV,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,CO_REGIAO,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,CO_UF,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,CO_ALTER,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,CO_ALTERDV,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,IN_CAPITAL,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,IN_AMAZLEG,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,IN_SEMIAR,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,IN_FRONTZN,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,DT_INSTAL,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,DT_EXTIN,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,CO_SUCESS,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,NU_ORDEM,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,NU_ORDMAP,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,NU_LATITUD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,NU_LONGIT,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,NU_ALTITUD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t005_tb_municip,NU_AREA,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t006_tb_mis,CO_MIS,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t006_tb_mis,NOME_MIS,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t006_tb_mis,CO_MUNIC_I,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t006_tb_mis,NU_ORDEM,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t007_tb_micibge,CO_MICIBGE,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t007_tb_micibge,CO_STATUS,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t007_tb_micibge,DS_NOME,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t007_tb_micibge,DS_NOMEPAD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t007_tb_micibge,DS_ABREV,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t007_tb_micibge,NU_ORDEM,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t008_tb_macsaud,CO_MACSAUD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t008_tb_macsaud,CO_STATUS,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t008_tb_macsaud,DS_NOME,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t008_tb_macsaud,DS_NOMEPAD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t008_tb_macsaud,DS_ABREV,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t008_tb_macsaud,NU_ORDEM,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t009_tb_dsei,CO_DSEI,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t009_tb_dsei,DS_NOME,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t009_tb_dsei,DS_NOMEPAD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t009_tb_dsei,CO_SEDE,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t010_tb_divadmant,CO_DIVADM,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t010_tb_divadmant,CO_STATUS,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t010_tb_divadmant,DS_NOME,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t010_tb_divadmant,DS_NOMEPAD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t010_tb_divadmant,DS_ABREV,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t010_tb_divadmant,NU_ORDEM,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t011_tb_divadm,CO_DIVADM,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t011_tb_divadm,CO_STATUS,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t011_tb_divadm,DS_NOME,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t011_tb_divadm,DS_NOMEPAD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t011_tb_divadm,DS_ABREV,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t011_tb_divadm,NU_ORDEM,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t012_rl_regsaud_macsaud,CO_REGSAUD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t012_rl_regsaud_macsaud,CO_MACRORR,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t013_rl_municip_terrcid,CO_MUNICIP,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t013_rl_municip_terrcid,CO_TERRCID,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t014_rl_municip_regsaud,CO_MUNICIP,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t014_rl_municip_regsaud,CO_REGSAUD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t015_rl_municip_regmetr,CO_MUNICIP,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t015_rl_municip_regmetr,CO_REGMET,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t016_rl_municip_pndr,CO_MUNICIP,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t016_rl_municip_pndr,CO_PNDR,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t017_rl_municip_micibge,CO_MUNICIP,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t017_rl_municip_micibge,CO_MICIBGE,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t018_rl_municip_macsaud,CO_MUNICIP,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t018_rl_municip_macsaud,CO_MACSAUD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t019_rl_municip_dsei,CO_MUNICIP,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t019_rl_municip_dsei,CO_DSEI,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t020_rl_municip_divadm,CO_MUNICIP,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t020_rl_municip_divadm,CO_DIVADM,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t021_tb_uf,CO_UF,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t021_tb_uf,DS_SIGLA,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t021_tb_uf,CO_STATUS,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t021_tb_uf,DS_NOME,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t021_tb_uf,DS_NOMEPAD,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t021_tb_uf,CO_SUCESS,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t021_tb_uf,CO_REGIAO,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
Base Territorial,t021_tb_uf,NU_AREA,,,,,,,ftp://ftp.datasus.gov.br/territorio/doc/bases_territoriais.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,ANO_CMPT,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,MES_CMPT,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,ESPEC,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,CGC_HOSP,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,MUNIC_RES,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,NASC,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,SEXO,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,UTI_MES_TO,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,UTI_INT_TO,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,PROC_REA,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,DT_INTER,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,DT_SAIDA,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,DIAG_PRINC,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,DIAG_SECUN,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,COBRANCA,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,NATUREZA,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,GESTAO,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,MUNIC_MOV,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,COD_IDADE,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,IDADE,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,DIAS_PERM,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,MORTE,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,NACIONAL,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,CAR_INT,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,HOMONIMO,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,CNES,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIH,t000_CRCE1103,FONTE,,,,,,,,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIHA,t000_CIHADF2211,ANO_CMPT,,,,,,,ftp://ftp.datasus.gov.br/dissemin/publicos/CIHA/201101_/Doc/Layout_Arquivos_CIHA.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIHA,t000_CIHADF2211,MES_CMPT,,,,,,,ftp://ftp.datasus.gov.br/dissemin/publicos/CIHA/201101_/Doc/Layout_Arquivos_CIHA.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIHA,t000_CIHADF2211,ESPEC,,,,,,,ftp://ftp.datasus.gov.br/dissemin/publicos/CIHA/201101_/Doc/Layout_Arquivos_CIHA.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIHA,t000_CIHADF2211,CGC_HOSP,,,,,,,ftp://ftp.datasus.gov.br/dissemin/publicos/CIHA/201101_/Doc/Layout_Arquivos_CIHA.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIHA,t000_CIHADF2211,MUNIC_RES,,,,,,,ftp://ftp.datasus.gov.br/dissemin/publicos/CIHA/201101_/Doc/Layout_Arquivos_CIHA.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIHA,t000_CIHADF2211,NASC,,,,,,,ftp://ftp.datasus.gov.br/dissemin/publicos/CIHA/201101_/Doc/Layout_Arquivos_CIHA.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
CIHA,t000_CIHADF2211,SEXO,,,,,,,ftp://ftp.datasus.gov.br/dissemin/publicos/CIHA/201101_/Doc/Layout_Arquivos_CIHA.pdf,Não auditada individualmente; rótulo local/menção textual não comprovam correspondência semântica.
